frame,arousal,valence
0,-0.12944981455802917,0.052687667310237885
1,-0.030704334378242493,0.1908073127269745
2,-0.03620627522468567,0.2014109194278717
3,-0.03175542503595352,0.17558744549751282
4,-0.05168437212705612,0.20139294862747192
5,-0.015119001269340515,0.02949632704257965
6,-0.02972281724214554,0.16069543361663818
7,-0.06011546403169632,0.15832602977752686
8,-0.06002632528543472,0.17401185631752014
9,-0.09992120414972305,0.06084267050027847
10,-0.022501252591609955,0.14599838852882385
11,0.01080620288848877,0.11826752871274948
12,0.003195345401763916,0.13950613141059875
13,-0.07061216235160828,0.17823049426078796
14,-0.044622667133808136,0.13228186964988708
15,-0.022434473037719727,0.1766793429851532
16,-0.0017195791006088257,0.1426025629043579
17,-0.0487520769238472,0.17508170008659363
18,-0.08828459680080414,0.20005592703819275
19,-0.18402062356472015,0.12841787934303284
20,0.00761200487613678,0.11328534036874771
21,0.033097878098487854,0.053805865347385406
22,-0.012671060860157013,0.18405592441558838
23,0.00113021582365036,0.14718028903007507
24,-0.20218807458877563,-0.08469017595052719
25,-0.04314248636364937,-0.136348158121109
26,-0.5534945726394653,0.08359131962060928
27,-0.49219900369644165,0.02858896553516388
28,-0.5669567584991455,-0.044483333826065063
29,-0.5395471453666687,-0.01796981692314148
30,-0.5424681901931763,-0.07785715907812119
31,-0.6085062623023987,-0.10502966493368149
32,-0.6408660411834717,-0.11722124367952347
33,-0.48729056119918823,-0.09331894665956497
34,-0.4765440821647644,-0.06240300089120865
35,-0.480351060628891,-0.04008392244577408
36,-0.30225908756256104,-0.10400030761957169
37,-0.33104097843170166,-0.03934779018163681
38,-0.2916591167449951,-0.032858170568943024
39,0.036784470081329346,-0.15452709794044495
40,0.06726042181253433,-0.2653372883796692
41,0.0643560066819191,-0.18721523880958557
42,-0.017324887216091156,-0.17104017734527588
43,0.040710605680942535,-0.23621845245361328
44,-0.10209623724222183,-0.3526054918766022
45,0.049111127853393555,-0.128875732421875
46,0.017287656664848328,-0.22759822010993958
47,-0.00891510397195816,-0.24193230271339417
48,-0.02513916790485382,-0.05399332195520401
49,-0.023594804108142853,-0.13114750385284424
50,-0.23109754920005798,-0.011833339929580688
51,-0.03374095261096954,0.02076800912618637
52,6.999075412750244e-05,0.05258185416460037
53,-0.03295740485191345,-0.08840255439281464
54,-0.022775642573833466,-0.012878507375717163
55,-0.01008797436952591,-0.04153613746166229
56,0.011984482407569885,0.15315040946006775
57,-0.017701126635074615,0.1624433696269989
58,0.004269033670425415,0.0384599044919014
59,-0.04886510595679283,-0.07041905075311661
60,-0.006221652030944824,0.03211274743080139
61,0.006633169949054718,0.03525308519601822
62,-0.04866253584623337,0.10215137153863907
63,-0.011304706335067749,-0.1005578488111496
64,0.02300051599740982,0.04154372960329056
65,-0.003688901662826538,0.11916572600603104
66,-0.06167084723711014,-0.026989035308361053
67,-0.2813343405723572,-0.028271310031414032
68,-0.06539598107337952,0.11387095600366592
69,-0.008989643305540085,-0.1354379653930664
70,-0.06379620730876923,-0.16407261788845062
71,-0.01102127879858017,0.09411478787660599
72,-0.08419694751501083,0.10613659769296646
73,0.026324376463890076,-0.0626060962677002
74,-0.13102367520332336,-0.3806043565273285
75,-0.22119012475013733,-0.15723949670791626
76,0.03208531439304352,-0.3078758418560028
77,-0.06545574963092804,-0.21811628341674805
78,-0.11032692342996597,-0.3855692446231842
79,-0.1329215168952942,-0.35167190432548523
80,-0.03067443147301674,-0.11440826207399368
81,-0.09859809279441833,-0.04544442147016525
82,-0.2806556224822998,-0.21011188626289368
83,-0.2731359899044037,-0.2505236864089966
84,-0.2905181348323822,-0.08700699359178543
85,0.07935954630374908,0.021444454789161682
86,0.01797572523355484,-0.18040677905082703
87,-0.18414922058582306,-0.36841586232185364
88,-0.13559600710868835,-0.2897712290287018
89,-0.2273332178592682,-0.29744672775268555
90,-0.16257214546203613,-0.13823428750038147
91,-0.22452770173549652,-0.3512483537197113
92,-0.2155528962612152,-0.3139117956161499
93,-0.18231160938739777,-0.4545429050922394
94,-0.10098795592784882,-0.04394734650850296
95,-0.08787567913532257,-0.1201978549361229
96,-0.05840356647968292,-0.17333832383155823
97,-0.153631329536438,-0.3052006661891937
98,-0.08345857262611389,-0.08136676996946335
99,-0.2897144854068756,-0.051834724843502045
100,-0.21335503458976746,-0.1580565869808197
101,-0.16547885537147522,-0.3027861714363098
102,-0.1716337502002716,-0.30264824628829956
103,-0.09930156916379929,-0.22615736722946167
104,-0.08604154735803604,-0.4596276879310608
105,-0.11469977349042892,-0.3609268367290497
106,-0.019402850419282913,-0.08930543065071106
107,-0.11573535203933716,-0.33799147605895996
108,-0.11939194053411484,-0.528980016708374
109,-0.1561351716518402,-0.5758065581321716
110,-0.14446470141410828,-0.6040799021720886
111,-0.1739768385887146,-0.543870747089386
112,-0.18546831607818604,-0.40028685331344604
113,-0.1927495002746582,-0.4869951009750366
114,-0.2618681788444519,-0.3587300181388855
115,-0.3331015408039093,-0.2280304729938507
116,-0.45747488737106323,-0.24397361278533936
117,-0.4669775366783142,-0.2152826189994812
118,-0.3627491593360901,-0.22996410727500916
119,-0.4828041195869446,-0.1387820541858673
